date,open,high,low,close,tick_volume
2005-01-02,1.6263,1.62982,1.62624,1.6297,4503.3
2005-01-03,1.62911,1.63502,1.61499,1.626,448684.2
2005-01-04,1.62572,1.62949,1.61736,1.62113,444982.8
2005-01-05,1.62101,1.63077,1.61707,1.62534,449012.0
2005-01-06,1.62482,1.63144,1.6129,1.62789,444884.3
2005-01-07,1.62691,1.63224,1.60492,1.60626,465915.0
2005-01-08,1.60626,1.60626,1.60626,1.60626,0.0
2005-01-09,1.60626,1.61042,1.60552,1.60951,5663.3
2005-01-10,1.60904,1.61035,1.59357,1.59999,438205.4
2005-01-11,1.59983,1.60534,1.59468,1.59784,442349.4
2005-01-12,1.59719,1.60111,1.58397,1.59219,439712.0
2005-01-13,1.59202,1.59475,1.58341,1.58782,446561.7
2005-01-14,1.58719,1.59978,1.5809,1.59304,441829.5
2005-01-15,1.59304,1.59304,1.59304,1.59304,0.0
2005-01-16,1.59304,1.59517,1.59182,1.59401,4516.8
2005-01-17,1.59363,1.59584,1.58588,1.58926,437724.3
2005-01-18,1.5891,1.5987,1.5854,1.59266,418226.0
2005-01-19,1.59275,1.60067,1.58853,1.59598,491200.6
2005-01-20,1.59568,1.60084,1.59061,1.59796,446344.1
2005-01-21,1.59791,1.59919,1.58436,1.59383,460052.0
2005-01-22,1.59383,1.59383,1.59383,1.59383,0.0
2005-01-23,1.59383,1.59383,1.59143,1.59208,3305.0
2005-01-24,1.5919,1.60057,1.58826,1.59513,445610.2
2005-01-25,1.59452,1.61417,1.58958,1.60104,497216.3
2005-01-26,1.60079,1.61529,1.59956,1.61154,449027.6
2005-01-27,1.61109,1.61843,1.60719,1.61336,443909.0
2005-01-28,1.61299,1.6213,1.60833,1.61545,434288.2
2005-01-29,1.61545,1.61545,1.61545,1.61545,0.0
2005-01-30,1.61545,1.62344,1.61193,1.61422,3100.0
2005-01-31,1.61445,1.61967,1.6092,1.61817,444559.3
2005-02-01,1.61754,1.61942,1.60577,1.60645,441042.6
2005-02-02,1.60623,1.6174,1.60589,1.6121,498392.5
2005-02-03,1.6117,1.61511,1.60579,1.6083,442005.2
2005-02-04,1.60809,1.61696,1.60263,1.60725,433010.4
2005-02-05,1.60725,1.60725,1.60725,1.60725,0.0
2005-02-06,1.60725,1.60736,1.60388,1.60544,6248.1
2005-02-07,1.60535,1.61283,1.59928,1.60155,444257.7
2005-02-08,1.60083,1.60441,1.58736,1.5946,442826.5
2005-02-09,1.59389,1.60093,1.58925,1.59803,440429.5
2005-02-10,1.59717,1.60436,1.59418,1.59859,441812.2
2005-02-11,1.59827,1.60033,1.58908,1.59056,478137.4
2005-02-12,1.59056,1.59056,1.59056,1.59056,0.0
2005-02-13,1.59056,1.59299,1.5885,1.59283,3382.1
2005-02-14,1.59242,1.60357,1.58994,1.60028,446069.2
2005-02-15,1.59996,1.60753,1.596,1.60126,440069.1
2005-02-16,1.6012,1.61604,1.59741,1.60976,445905.4
2005-02-17,1.60937,1.61467,1.60271,1.60526,442686.0
2005-02-18,1.60433,1.61044,1.60096,1.60923,428564.2
2005-02-19,1.60923,1.60923,1.60923,1.60923,0.0
2005-02-20,1.60923,1.60923,1.60479,1.60803,4800.8
2005-02-21,1.6082,1.61295,1.60319,1.61147,486357.6
2005-02-22,1.61142,1.62957,1.60891,1.62506,447915.7
2005-02-23,1.62437,1.6502,1.62062,1.64704,438070.6
2005-02-24,1.64661,1.65398,1.63246,1.63443,446141.0
2005-02-25,1.63438,1.6419,1.63176,1.63888,488107.8
2005-02-26,1.63888,1.63888,1.63888,1.63888,0.0
2005-02-27,1.63888,1.64011,1.63728,1.63988,4346.1
2005-02-28,1.6392,1.64128,1.62643,1.63149,443334.7
2005-03-01,1.63118,1.63978,1.62481,1.63344,500205.5
2005-03-02,1.63298,1.63752,1.62429,1.62582,437986.6
2005-03-03,1.62564,1.63843,1.62447,1.62932,441663.8
2005-03-04,1.62908,1.63388,1.62581,1.62934,482115.5
2005-03-05,1.62934,1.62934,1.62934,1.62934,0.0
2005-03-06,1.62934,1.63001,1.62807,1.6291,4513.1
2005-03-07,1.62836,1.63188,1.62021,1.62346,488155.7
2005-03-08,1.62338,1.62952,1.61496,1.618,433497.9
2005-03-09,1.61763,1.61892,1.60823,1.61308,440153.2
2005-03-10,1.61293,1.61735,1.60765,1.61575,444820.6
2005-03-11,1.61549,1.62533,1.61188,1.622,427316.7
2005-03-12,1.622,1.622,1.622,1.622,0.0
2005-03-13,1.622,1.62328,1.61842,1.62091,4646.7
2005-03-14,1.62081,1.62245,1.60938,1.61322,472691.9
2005-03-15,1.61295,1.6153,1.60024,1.60626,495109.4
2005-03-16,1.60574,1.61733,1.60234,1.61354,468383.2
2005-03-17,1.61267,1.61808,1.60125,1.60679,445589.9
2005-03-18,1.6065,1.60832,1.59618,1.60044,432269.5
2005-03-19,1.60044,1.60044,1.60044,1.60044,0.0
2005-03-20,1.60044,1.6017,1.59835,1.60137,4409.1
2005-03-21,1.60102,1.60338,1.59106,1.59325,442118.1
2005-03-22,1.59255,1.59553,1.5737,1.58027,439430.5
2005-03-23,1.57966,1.58504,1.57371,1.57907,446860.5
2005-03-24,1.57874,1.58342,1.56911,1.57143,445388.2
2005-03-25,1.57048,1.57887,1.56987,1.57734,437042.0
2005-03-26,1.57734,1.57734,1.57734,1.57734,0.0
2005-03-27,1.57734,1.57903,1.57493,1.57717,13934.1
2005-03-28,1.57637,1.57738,1.56387,1.56737,447480.6
2005-03-29,1.56777,1.57409,1.5616,1.56366,435790.1
